date_reference,entity_name,entity_type,size_bucket,currency_code,instrument_name,term_bucket,term_days_floor,term_profile,rate_nominal_pct,rate_effective_pct,inflation_yoy_pct,real_rate_pct,policy_rate_pct,system_passive_rate_pct,real_policy_rate,cda_attractiveness_score,risk_score,risk_proxy,liquidity_score,solvency_score,npl_score,profitability_score,withdrawal_allowed,early_withdrawal_penalty,interest_payment_frequency,compound_interest,min_amount,guarantee,auto_renewal,nominal_return_score_100,real_return_score_100,safety_score_100,flexibility_score_100,accessibility_score_100,market_timing_score_100,final_score_conservative,final_score_balanced,final_score_aggressive,rank_conservative,rank_balanced,rank_aggressive,recommendation_tag,rate_source,source_url,data_note
2026-03,UENO Bank S.A.,bank,medium,PYG,CDA_365_PLUS,CDA_365_PLUS,366,long_term,10.3,,2.3,8.0,5.75,5.4,3.45,31.000000000000007,90,27,72,78,79,73,1,0.5,maturity,0,1000000,1,1,100.0,100.0,73,87.5,0.0,100.0,73.05,80.75,96.05,2,1,1,good_candidate,BCP_resumen_tasas_referenciales_marzo_2026_bancos,https://www.bcp.gov.py/documents/20117/2314623/BANCOS%2B202603.pdf/2c5dea9e-c1a4-f132-ab01-527f805a82bb?t=1772119273223,"Public BCP reference table, banks, passive rates in M/L (PYG). Using max nominal rate per term bucket. Real rate uses latest public inflation reference available (2.3%, Feb-2026)."
2026-03,Bancop S.A.,bank,medium,PYG,CDA_365_PLUS,CDA_365_PLUS,366,long_term,9.65,,2.3,7.3500000000000005,5.75,5.4,3.45,31.000000000000007,90,23,76,88,76,63,1,0.5,maturity,0,1000000,1,1,93.37,94.26,77,87.5,0.0,100.0,73.3,80.03,92.54,1,2,3,good_candidate,BCP_resumen_tasas_referenciales_marzo_2026_bancos,https://www.bcp.gov.py/documents/20117/2314623/BANCOS%2B202603.pdf/2c5dea9e-c1a4-f132-ab01-527f805a82bb?t=1772119273223,"Public BCP reference table, banks, passive rates in M/L (PYG). Using max nominal rate per term bucket. Real rate uses latest public inflation reference available (2.3%, Feb-2026)."
2026-03,Interfisa Banco S.A.E.C.A.,bank,medium,PYG,CDA_365_PLUS,CDA_365_PLUS,366,long_term,9.5,,2.3,7.2,5.75,5.4,3.45,31.000000000000007,90,31,71,70,87,62,1,0.5,maturity,0,1000000,1,1,91.84,92.93,69,87.5,0.0,100.0,70.24,77.63,90.84,4,3,5,good_candidate,BCP_resumen_tasas_referenciales_marzo_2026_bancos,https://www.bcp.gov.py/documents/20117/2314623/BANCOS%2B202603.pdf/2c5dea9e-c1a4-f132-ab01-527f805a82bb?t=1772119273223,"Public BCP reference table, banks, passive rates in M/L (PYG). Using max nominal rate per term bucket. Real rate uses latest public inflation reference available (2.3%, Feb-2026)."
2026-03,Banco Solar S.A.E.,bank,medium,PYG,CDA_365_PLUS,CDA_365_PLUS,366,long_term,10.0,,2.3,7.7,5.75,5.4,3.45,31.000000000000007,90,37,84,81,77,61,1,0.5,maturity,0,1000000,1,1,96.94,97.35,63,87.5,0.0,100.0,69.02,77.46,93.25,7,4,2,good_candidate,BCP_resumen_tasas_referenciales_marzo_2026_bancos,https://www.bcp.gov.py/documents/20117/2314623/BANCOS%2B202603.pdf/2c5dea9e-c1a4-f132-ab01-527f805a82bb?t=1772119273223,"Public BCP reference table, banks, passive rates in M/L (PYG). Using max nominal rate per term bucket. Real rate uses latest public inflation reference available (2.3%, Feb-2026)."
2026-03,Banco Solar S.A.E.,bank,medium,PYG,CDA_365,CDA_365,365,medium_term,9.75,,2.3,7.45,5.75,5.4,3.45,31.000000000000007,90,37,84,81,77,61,1,0.5,maturity,0,1000000,1,1,94.39,95.14,63,87.5,0.0,100.0,68.58,76.79,91.74,10,5,4,good_candidate,BCP_resumen_tasas_referenciales_marzo_2026_bancos,https://www.bcp.gov.py/documents/20117/2314623/BANCOS%2B202603.pdf/2c5dea9e-c1a4-f132-ab01-527f805a82bb?t=1772119273223,"Public BCP reference table, banks, passive rates in M/L (PYG). Using max nominal rate per term bucket. Real rate uses latest public inflation reference available (2.3%, Feb-2026)."
2026-03,Banco Itaú Paraguay S.A.,bank,large,PYG,CDA_365_PLUS,CDA_365_PLUS,366,long_term,8.52,,2.3,6.22,5.75,5.4,3.45,31.000000000000007,90,24,75,76,85,60,1,0.5,maturity,0,1000000,1,1,81.84,84.27,76,87.5,0.0,100.0,70.95,76.78,85.64,3,6,6,good_candidate,BCP_resumen_tasas_referenciales_marzo_2026_bancos,https://www.bcp.gov.py/documents/20117/2314623/BANCOS%2B202603.pdf/2c5dea9e-c1a4-f132-ab01-527f805a82bb?t=1772119273223,"Public BCP reference table, banks, passive rates in M/L (PYG). Using max nominal rate per term bucket. Real rate uses latest public inflation reference available (2.3%, Feb-2026)."
2026-03,Bancop S.A.,bank,medium,PYG,CDA_365,CDA_365,365,medium_term,7.8,,2.3,5.5,5.75,5.4,3.45,31.000000000000007,90,23,76,88,76,63,1,0.5,maturity,0,1000000,1,1,74.49,77.91,77,87.5,0.0,100.0,70.03,75.12,81.41,5,7,9,good_candidate,BCP_resumen_tasas_referenciales_marzo_2026_bancos,https://www.bcp.gov.py/documents/20117/2314623/BANCOS%2B202603.pdf/2c5dea9e-c1a4-f132-ab01-527f805a82bb?t=1772119273223,"Public BCP reference table, banks, passive rates in M/L (PYG). Using max nominal rate per term bucket. Real rate uses latest public inflation reference available (2.3%, Feb-2026)."
2026-03,Bancop S.A.,bank,medium,PYG,CDA_180,CDA_180,180,short_term,7.6,,2.3,5.3,5.75,5.4,3.45,31.000000000000007,90,23,76,88,76,63,1,0.5,maturity,0,1000000,1,1,72.45,76.14,77,87.5,0.0,100.0,69.68,74.59,80.2,6,8,11,good_candidate,BCP_resumen_tasas_referenciales_marzo_2026_bancos,https://www.bcp.gov.py/documents/20117/2314623/BANCOS%2B202603.pdf/2c5dea9e-c1a4-f132-ab01-527f805a82bb?t=1772119273223,"Public BCP reference table, banks, passive rates in M/L (PYG). Using max nominal rate per term bucket. Real rate uses latest public inflation reference available (2.3%, Feb-2026)."
2026-03,ZETA Banco S.A.E.C.A.,bank,medium,PYG,CDA_365_PLUS,CDA_365_PLUS,366,long_term,8.5,,2.3,6.2,5.75,5.4,3.45,31.000000000000007,90,36,74,77,86,60,1,0.5,maturity,0,1000000,1,1,81.63,84.09,64,87.5,0.0,100.0,66.72,73.73,84.32,16,9,7,good_candidate,BCP_resumen_tasas_referenciales_marzo_2026_bancos,https://www.bcp.gov.py/documents/20117/2314623/BANCOS%2B202603.pdf/2c5dea9e-c1a4-f132-ab01-527f805a82bb?t=1772119273223,"Public BCP reference table, banks, passive rates in M/L (PYG). Using max nominal rate per term bucket. Real rate uses latest public inflation reference available (2.3%, Feb-2026)."
2026-03,Banco Itaú Paraguay S.A.,bank,large,PYG,CDA_365,CDA_365,365,medium_term,7.28,,2.3,4.98,5.75,5.4,3.45,31.000000000000007,90,24,75,76,85,60,1,0.5,maturity,0,1000000,1,1,69.18,73.31,76,87.5,0.0,100.0,68.76,73.49,78.18,8,10,13,good_candidate,BCP_resumen_tasas_referenciales_marzo_2026_bancos,https://www.bcp.gov.py/documents/20117/2314623/BANCOS%2B202603.pdf/2c5dea9e-c1a4-f132-ab01-527f805a82bb?t=1772119273223,"Public BCP reference table, banks, passive rates in M/L (PYG). Using max nominal rate per term bucket. Real rate uses latest public inflation reference available (2.3%, Feb-2026)."
